word,image,kind,hint
truck,truck,object,a yellow pickup truck seen from the side
tree,tree,object,a single tree with a brown trunk and a round orange-red leafy top
smile,smile,callout,"a whole cartoon girl's face with a big happy smile, the arrow pointing at the SMILE on her mouth"
smoke,smoke,object,grey puffy smoke rising up from a small campfire
snake,snake,object,"a green snake coiled in an S shape with its red tongue out, friendly"
snow,snow,object,a light-blue rounded patch with several big pale-blue snowflakes on it
swing,swing,object,a playground swing set with yellow poles and one green seat hanging on two red ropes
stop,stop,object,"a red octagonal traffic stop sign on a grey post, with a plain thick white band across the middle"
test,test,object,a school test paper sheet with rows of small squares ticked with green check marks and a big gold star at the top
fast,fast,compare,"two identical green sports cars, the hero one zooming forward with motion lines behind it, the pale one standing still"
shell,shell,object,a pink and cream spiral conch seashell
fish,fish,object,"a blue tropical fish with a yellow fin, side view"
brush,brush,object,a wooden hairbrush with dark bristles
chick,chick,object,a fluffy yellow baby chick standing on two orange feet
lunch,lunch,object,"an open lunch box with a sandwich, a red apple and a juice box"
catch,catch,object,"a cartoon girl in a cap wearing a baseball glove, catching a white ball flying toward her"
phone,phone,object,an old-fashioned green cordless landline phone standing on its base with a short antenna
dolphin,dolphin,object,"a blue dolphin jumping in a curve, side view"
whale,whale,object,"a big dark-blue whale with a water spout, side view"
white,white,object,"a big paint splat blob in soft off-white cream color with a thick grey outline, next to a small dark blue paintbrush"
this,this,object,"a cartoon girl in a yellow dress standing and cradling a SMALL green ball in one arm against her tummy — the ball is no bigger than her head; her head is tilted down and her eyes look straight at that ball; her other hand is raised just above the ball with the index finger pointing down at it, finger tip almost touching it. Neither arm reaches out away from her body, her whole body stays in frame, there is no table and nothing else in the picture. Drawn with soft warm brown outlines and gentle pastel colours, like a colour-pencil childrens book"
that,that,object,"a cartoon girl standing on the left pointing far across to a green ball sitting on a small table on the right, away from her"
mother,mother,object,a cartoon mother with dark hair holding a baby wrapped in a blue blanket
father,father,object,a cartoon father in a green shirt lifting a laughing baby up high above his head
three,three,object,"a big bold blue number three digit shape, thick and chunky"
teeth,teeth,object,a wide smiling mouth with red lips showing two rows of big clean white teeth
think,think,object,a cartoon girl with her finger on her chin looking up at an empty thought bubble above her head
bath,bath,object,a cartoon child sitting in a white bathtub full of soap bubbles
rocket,rocket,object,a red and white rocket flying upward with orange flames
queen,queen,object,a cartoon queen in a purple dress wearing a gold crown and holding a scepter
king,king,object,a cartoon king with a white beard in a purple robe wearing a gold crown and holding a scepter
long,long,compare,"two brown dachshund dogs one above the other, the hero one stretched very long, the pale one short"
pink,pink,object,a big pink paint splat blob with a few small pink drops around it
wind,wind,object,a swirling gust of wind drawn as pale-blue curling lines with three green leaves blowing in it
hand,hand,object,a single open hand with the palm facing front and fingers spread
paint,paint,object,a purple paint bucket with purple paint dripping over the rim and a paintbrush leaning on it
adult,adult,compare,"two people standing side by side, the hero one a tall grown-up man in a blue shirt, the pale one a small child"
lamp,lamp,object,"a table lamp with a purple base and a teal pleated lampshade, switched on"
desk,desk,object,a school desk with a wooden top and grey metal legs
scale,scale,object,a bathroom weighing scale seen from above with two grey footprints and a small dial
spray,spray,object,a yellow spray can spraying a light mist cloud from its nozzle
spring,spring,object,a blossoming tree with pink flowers in a green meadow with small flowers and a bright sun
strong,strong,object,a flexed muscular cartoon arm lifting a red dumbbell
splash,splash,object,a big blue water splash with drops flying up
splint,splint,object,a child's forearm and hand wrapped in a beige splint bandage with straps
square,square,object,one solid bright green square shape
ice cream,ice_cream,object,"an ice cream cone with two scoops, chocolate brown and strawberry pink"
cell phone,cell_phone,object,a modern black smartphone with a colorful screen of small app icons
giraffe,giraffe,object,a tall yellow giraffe with brown spots standing side-on
orange,orange,object,one whole round orange fruit with a small green leaf
giant,giant,compare,"two identical cartoon men in red shirts side by side, the hero one an enormous towering giant, the pale one tiny"
rose,rose,object,a single red rose on a green stem with two leaves
legs,legs,callout,"a whole cartoon child standing in shorts and sneakers, the arrow pointing at the LEGS"
